#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1548685904964781323,-0.0492774074,-0.0299630320,-0.0031958524,9.6633845113,0.6354784068,0.9525760591
1548685904969760323,-0.0500128448,-0.0247798017,-0.0026565144,9.6071729478,0.6306026369,0.9908571684
1548685904974739323,-0.0485551412,-0.0175836664,0.0005467393,9.5760771893,0.6245560097,0.9443905777
1548685904979718323,-0.0478074818,-0.0101198530,0.0069777367,9.5988010128,0.6245839065,0.9651822213
1548685904984697323,-0.0456186107,-0.0060888941,0.0096401032,9.6298967714,0.6270254621,1.0046159328
1548685904989676323,-0.0468347984,-0.0014872557,0.0107210745,9.6442486599,0.6246397001,0.9727687940
1548685904994655323,-0.0446410022,-0.0012011984,0.0128493893,9.6789323906,0.6354974941,1.0098068387
1548685904999635323,-0.0448823149,-0.0003402771,0.0133877850,9.6693644649,0.6186620807,1.0345598878
1548685905004613323,-0.0424583325,-0.0006166529,0.0130982324,9.6502286135,0.6186385887,1.0477160483
1548685905009592323,-0.0375841271,-0.0043595654,0.0160115980,9.6358767249,0.5885787066,1.0725376986
1548685905014571323,-0.0375528601,-0.0049652802,0.0213813275,9.6490326228,0.6018134531,1.0629765694
1548685905019550323,-0.0336471927,-0.0058367249,0.0256433256,9.6550125763,0.5910055796,1.0640701242
1548685905024529323,-0.0302189886,-0.0067175439,0.0312519074,9.6861083349,0.6054640405,1.1011561553
1548685905029508323,-0.0282516283,-0.0104759226,0.0347277733,9.6885003163,0.5730213328,1.0847196559
1548685905034487323,-0.0272644973,-0.0122146062,0.0371367564,9.6741484277,0.5838189285,1.0966355307
1548685905039466323,-0.0265333297,-0.0153797825,0.0365958692,9.6801283813,0.5465738635,1.0719452492
1548685905044445323,-0.0265365716,-0.0173905544,0.0352550966,9.6538165856,0.5309195852,1.0535511201
1548685905049424323,-0.0258159658,-0.0191069818,0.0333707812,9.6394646971,0.5056664651,1.0303072182
1548685905054403323,-0.0265621116,-0.0173657956,0.0306912027,9.5689012450,0.4875544804,1.0289291393
1548685905059383323,-0.0319044385,-0.0145044197,0.0304674065,9.5473734121,0.4851246708,1.1241795574
1548685905064362323,-0.0343342384,-0.0107699793,0.0310227678,9.5246495886,0.4634663446,1.1444239741
1548685905069340323,-0.0386983016,-0.0047477553,0.0334726568,9.4528901458,0.4285292243,1.1219651008
1548685905074319323,-0.0425741479,0.0032873328,0.0372590564,9.4493021737,0.4080960806,1.1747727685
1548685905079299323,-0.0457282025,0.0196744170,0.0431803600,9.4433222201,0.3960718341,1.2123709810
1548685905084277323,-0.0524937580,0.0273897250,0.0504825890,9.4851818951,0.3853080082,1.2164923341
1548685905089256323,-0.0573569726,0.0351498120,0.0510561616,9.5222576072,0.3817484524,1.2663967726
1548685905094235323,-0.0636767500,0.0472207415,0.0529815221,9.5318255329,0.3793568174,1.3295711878
1548685905099215323,-0.0677887016,0.0529469798,0.0570402875,9.5760771893,0.3481671891,1.3254590655
1548685905104193323,-0.0726557680,0.0589845883,0.0562728662,9.6203288457,0.3301961565,1.3471341667
